|importar|clase|main|si|sinosi|sino|para|mientras|leer|imprimir|vacio|entero|real|caracter|cadena|bool|VERDADERO|FALSO|retornar|[|]|(|)|}|=|%%|+|-|*|/|&&|"||"|==|!=|>|<|>=|<=|,|.|;|VALOR|ID
          <retorno>|||||||||||||||||<valor> ;|<valor> ;||||<valor> ;|||||||||||||||||||;|<valor> ;|<valor> ;
             <main>|||{crearAlcance} main ( ) { <cuerpoMain>||||||||||||||||||||||||||||||||||||||||
       <cuerpoMain>||||<cuerpo> <cuerpoMain>|||<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>||<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>|<cuerpo> <cuerpoMain>||||||||} {borrarAlcance} {fin}|||||||||||||||||||<cuerpo> <cuerpoMain>
           <cuerpo>||||<si>|||<para>|<mientras>|<lectura>|<impresion>||<tipoDato> ID {push} <variable>|<tipoDato> ID {push} <variable>|<tipoDato> ID {push} <variable>|<tipoDato> ID {push} <variable>|<tipoDato> ID {push} <variable>|||||||||||||||||||||||||||ID {push} <asignacion> {asignar} ;
       <asignacion>||||||||||||||||||||[ <valor> ] = <valor>|||||= <valor>|||||||||||||||. ID <elementosObjeto>|||ID ( <constructor>
  <elementosObjeto>||||||||||||||||||||||( <constructor>|||= <valor>||||||||||||||||||
        <impresion>||||||||||imprimir -> <valor> {imprimir} ;|||||||||||||||||||||||||||||||||
          <lectura>|||||||||leer -> ID {push} {leer} ;||||||||||||||||||||||||||||||||||
         <mientras>||||||||mientras ( <valor> <condicion> { <cuerpoMain>|||||||||||||||||||||||||||||||||||
             <para>|||||||para ( ID = <valor> ; ID <condicionPara> ; ID = <valor> ) { <cuerpoMain>||||||||||||||||||||||||||||||||||||
    <condicionPara>|||||||||||||||||||||||||||||||||== <valor>|!= <valor>|> <valor>|< <valor>|>= <valor>|<= <valor>|||||
               <si>||||si ( <valor> <condicion> { <cuerpoMain> <otroSi>|||||||||||||||||||||||||||||||||||||||
           <otroSi>|||?|?|sinosi ( <valor> <condicion> { <cuerpoMain> <otroSi>|sino { <cuerpoMain>|?|?|?|?|?|?|?|?|?|?|||?|||||?|||||||||||||||||||?
         <variable>||||||||||||||||||||[ <vector> ;|||||= <valor> <otraVariable>||||||||||||||<otraVariable>||<otraVariable>||
     <otraVariable>|||||||||||||||||||||||||||||||||||||||{crearVariable} , ID {push} <variable>||{crearVariable} {pop} ;||
           <vector>|||||||||||||||||<valor> ]|<valor> ]|||] = { <valor> <otroValor>|<valor> ]||||||||||||||||||||<valor> ]|<valor> ]
        <argumento>||||||||||||<tipoDato> ID <listaArg>|<tipoDato> ID <listaArg>|<tipoDato> ID <listaArg>|<tipoDato> ID <listaArg>|<tipoDato> ID <listaArg>|||||||)||||||||||||||||||||
         <listaArg>|||||||||||||||||||||||)||||||||||||||||, <tipoDato> ID <listaArg>||||
        <condicion>|||||||||||||||||||||||||||||||||== <valor> <otraCondicion>|!= <valor> <otraCondicion>|> <valor> <otraCondicion>|< <valor> <otraCondicion>|>= <valor> <otraCondicion>|<= <valor> <otraCondicion>|||||
    <otraCondicion>|||||||||||||||||||||||)||||||||&& <valor> <condicion>|"|| <valor> <condicion>"|||||||||||
      <constructor>|||||||||||||||||<valor> <otroConstructor>|<valor> <otroConstructor>||||<valor> <otroConstructor>|)|||||||||||||||||||<valor> <otroConstructor>|<valor> <otroConstructor>
  <otroConstructor>|||||||||||||||||||||||)||||||||||||||||, <valor> <otroConstructor>||||
        <operacion>||||||||||||||||||||?|?||?|?|?|%% <valor>|+ <valor> {sumar}|- <valor>|* <valor>|/ <valor>|?|?|?|?|?|?|?|?|?||?||
         <tipoDato>||||||||||||entero {push}|real {push}|caracter {push}|cadena {push}|bool {push}|||||||||||||||||||||||||||
            <valor>|||||||||||||||||verdadero {push}|falso {push}||||( <tiposValor> <operacion> ) <operacion>||||||||||||||||||||<tiposValor> <operacion>|<tiposValor> <operacion>
       <tiposValor>||||||||||||||||||||||||||||||||||||||||||VALOR {push}|ID {push} <elementosValor>
   <elementosValor>||||||||||||||||||||?|?||?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|. ID|?||
        <otroValor>||||||||||||||||||||||||}|||||||||||||||, <valor> <otroValor>||||
